Sector Zone,VT,Property Name,Property Address,Proposed Used,Available Unit,Size,Gross Rate,Gross
CBD - Shenton Way,No,City House,36 Robinson Road Singapore 068877,Office,#18,7535.00,8.80,66308.00
East,No,Geylang Road Shophouses,587 Geylang Road Singapore 389526,Office,587A #02-01,712.00,5.34,3800.00
CBD - Clarke Quay,No,Hong Kong Street Buildings,45 Hongkong Street Singapore 059683,Office,#03-01,1445.00,8.10,11705.00
CBD - Raffles Place,No,Republic Plaza 1,9 Raffles Place Singapore 048619,Office,#60,9171.00,11.00,100881.00
CBD - Promenade,No,Suntec Tower Three,8 Temasek Boulevard Singapore 038988,Office,#08-04,3552.00,11.00,39072.00
CBD - Promenade,No,Suntec Tower One,7 Temasek Boulevard Singapore 038987,Office,#13-01,6878.00,11.00,75658.00
CBD - Clarke Quay,No,The Central - Tower 1,8 Eu Tong Sen Street Singapore 059818,Office,TBA,2659.00,0,0
CBD - Promenade,No,Suntec Tower One,7 Temasek Boulevard Singapore 038987,Office,#26-06,957.00,11.00,10527.00
Chinatown,No,CES Centre,171 Chin Swee Road Singapore 169877,Office,#02-01,1378.00,5.80,7992.40
CBD - Promenade,No,Suntec Tower Three,8 Temasek Boulevard Singapore 038988,Office,#32-01A,1421.00,11.00,15631.00
CBD - Promenade,No,Suntec Tower Three,8 Temasek Boulevard Singapore 038988,Office,#16-01,2605.00,11.00,28655.00
CBD - Promenade,No,Suntec Tower Three,8 Temasek Boulevard Singapore 038988,Office,#24-01,3488.00,11.00,38368.00
CBD - Raffles Place,No,Bank of China Building,4 Battery Road Singapore 049908,Office,#29-00,4198.00,9.60,40300.80
CBD - Clarke Quay,No,Hong Kong Street Buildings,45 Hongkong Street Singapore 059683,Office,#02-01,1430.00,8.10,11585.00
CBD - Raffles Place,No,Bank of China Building,4 Battery Road Singapore 049908,Office,#26-00,4198.00,9.60,40300.80
CBD - Raffles Place,No,Bank of China Building,4 Battery Road Singapore 049908,Office,#25-00,4198.00,9.60,40300.80
CBD - Promenade,No,Suntec Tower Two,9 Temasek Boulevard Singapore 038989,Office,TBA,6351.00,11.50,73036.50
CBD - Promenade,No,Suntec Tower Three,8 Temasek Boulevard Singapore 038988,Office,#07-04,3671.00,11.00,40381.00
Chinatown,No,CES Centre,171 Chin Swee Road Singapore 169877,Office,#02-02,1389.00,5.80,8056.20
Chinatown,No,CES Centre,171 Chin Swee Road Singapore 169877,Office,#03,11905.00,5.80,69049.00
Chinatown,No,CES Centre,171 Chin Swee Road Singapore 169877,Office,#04-02,1432.00,5.80,8305.60
CBD - Tanjong Pagar,No,Anson House,72 Anson Road Singapore 079911,Office,#06-02,1679.18,9.50,15952.21
East,No,ARC 380,380 Jalan Besar Singapore 209000,Office,#13-05,1001.00,7.80,7807.80
CBD - Downtown,No,Marina Bay Financial Centre Tower 2,10 Marina Boulevard Singapore 018983,Office,#08-02,14469.00,14.00,202566.00
East,Yes,CPF Tampines Building,1 Tampines Central 5 Singapore 529508,Office,#08-01,1560.78,6.20,9676.84
CBD - Shenton Way,No,Amoy Street Shophouses,42 Amoy Street Singapore 069868,Office,42 #01,900.00,10.89,9800.00
CBD - Shenton Way,No,Tong Eng Building,101 Cecil Street Singapore 069533,Office,#16-12A,460.00,8.50,3910.00
Beach Road,No,Sultan Plaza,100 Jalan Sultan Singapore 199001,Office,#05-39,495.00,3.33,1650.00
Beach Road,No,Textile Centre,200 Jalan Sultan Singapore 199018,Office,#12-02,883.00,3.60,3178.80
One-North,No,The Metropolis Tower 1,9 North Buona Vista Drive Singapore 138588,Office,#09,29138.00,9.20,268069.60
CBD - Downtown,No,One Raffles Quay North Tower,1 Raffles Quay Singapore 048583,Office,#21-01,2680.00,14.00,37520.00
East,No,CPF Tampines Building,1 Tampines Central 5 Singapore 529508,Office,#08-04,1097.93,6.20,6807.17
East,No,CPF Tampines Building,1 Tampines Central 5 Singapore 529508,Office,#08-03,1431.61,6.20,8875.98
East,No,CPF Tampines Building,1 Tampines Central 5 Singapore 529508,Office,#06-11,1055.00,6.20,6541.00
CBD - Promenade,No,Suntec Tower Four,6 Temasek Boulevard Singapore 038986,Office,TBA,7416.00,11.00,81576.00
CBD - Downtown,No,Marina Bay Financial Centre Tower 1,8 Marina Boulevard Singapore 018981,Office,#04-01,13444.00,14.00,188216.00
CBD - Downtown,No,Marina Bay Financial Centre Tower 1,8 Marina Boulevard Singapore 018981,Office,#06-02,9397.00,14.00,131558.00
CBD - Downtown,No,Marina Bay Financial Centre Tower 2,10 Marina Boulevard Singapore 018983,Office,#24-02,3531.00,14.00,49434.00
CBD - Downtown,No,Marina Bay Financial Centre Tower 2,10 Marina Boulevard Singapore 018983,Office,#39-02,7528.00,14.00,105392.00
